AAA,Other Materials
AAM,Consumer Staples
AAS,Brokerage
AAT,Consumer Durables
AAV,Residential
ABB,Bank
ABI,Insurance
ABS,Industrials
ABT,Consumer Staples
ABW,Brokerage
ACB,Bank
ACC,Other Materials
ACG,Other Materials
ACL,Consumer Staples
ACV,Transportation
ADG,Telecom & Media
ADP,Other Materials
ADS,Consumer Durables
AGF,Consumer Staples
AGG,Residential
AGM,Consumer Staples
AGR,Brokerage
AIC,Insurance
AMD,Industrials
AMV,Health Care
ANV,Consumer Staples
APC,Industrials
APF,Consumer Durables
APG,Brokerage
APH,Industrials
API,Residential
APS,Brokerage
ART,Brokerage
ASG,Transportation
ASM,Consumer Staples
ASP,Energy
AST,Consumer Durables
ATG,Other Materials
AVC,Utilities
BAB,Bank
BAF,Consumer Staples
BBC,Consumer Staples
BCC,Other Materials
BCE,Industrials
BCF,Consumer Staples
BCG,Residential
BCM,IP
BDT,Consumer Durables
BFC,Other Materials
BHA,Utilities
BHN,Consumer Staples
BIC,Insurance
BID,Bank
BKG,Consumer Durables
BLI,Insurance
BMC,Other Materials
BMI,Insurance
BMJ,Metals
BMP,Industrials
BMS,Brokerage
BMV,Consumer Staples
BNA,Consumer Staples
BOT,Industrials
BRC,Industrials
BRR,Industrials
BSA,Other Materials
BSG,Transportation
BSI,Brokerage
BSQ,Consumer Staples
BSR,Energy
BTP,Utilities
BTS,Other Materials
BTT,Industrials
BTV,Consumer Durables
BVB,Bank
BVH,Insurance
BVL,Residential
BVS,Brokerage
BWE,Utilities
BWS,Utilities
C32,Industrials
C47,Industrials
C4G,Industrials
C69,Other Materials
CAB,Consumer Durables
CAV,Industrials
CBI,Metals
CC1,Industrials
CC4,Residential
CCI,Industrials
CCL,Residential
CDC,Industrials
CDN,Transportation
CDO,Other Materials
CEO,Residential
CHP,Utilities
CIG,Residential
CII,Residential
CKD,Other Materials
CKG,Residential
CLC,Consumer Staples
CLG,Residential
CLL,Transportation
CLM,Consumer Durables
CLW,Utilities
CLX,Consumer Staples
CMF,Consumer Staples
CMG,IT
CMT,IT
CMV,Retailing
CMX,Consumer Staples
CNG,Energy
CNT,Retailing
COM,Retailing
CQN,Transportation
CRC,Other Materials
CRE,Residential
CSC,Industrials
CSI,Brokerage
CSM,Consumer Durables
CST,Metals
CSV,Other Materials
CTD,Industrials
CTF,Other Materials
CTG,Bank
CTI,Other Materials
CTR,Industrials
CTS,Brokerage
CTX,Industrials
CVT,Other Materials
D2D,Residential
DAG,Industrials
DAH,Consumer Durables
DAN,Health Care
DAT,Consumer Staples
DBC,Consumer Staples
DBD,Health Care
DBT,Health Care
DC4,Industrials
DCF,Industrials
DCL,Health Care
DCM,Chemicals
DDG,Energy
DDV,Chemicals
DFF,Industrials
DGC,Chemicals
DGT,Industrials
DGW,Retailing
DHA,Other Materials
DHB,Chemicals
DHC,Other Materials
DHG,Health Care
DHM,Other Materials
DHT,Health Care
DIC,Industrials
DIG,Residential
DL1,Transportation
DLG,Industrials
DMC,Health Care
DNA,Utilities
DNH,Utilities
DNP,Other Materials
DNW,Utilities
DP3,Health Care
DPG,Residential
DPM,Chemicals
DPR,Other Materials
DQC,Industrials
DRC,Consumer Durables
DRG,Other Materials
DRH,Residential
DRI,Other Materials
DRL,Utilities
DSC,Brokerage
DSD,Consumer Durables
DSN,Consumer Durables
DSP,Consumer Durables
DTA,Residential
DTD,Industrials
DTE,Utilities
DTK,Utilities
DTL,Other Materials
DTP,Other Materials
DTT,Other Materials
DVM,Other Materials
DVN,Health Care
DVP,Transportation
DWC,Utilities
DXG,Residential
DXS,Residential
DXV,Other Materials
EIB,Bank
EIC,Utilities
ELC,IT
EMC,Industrials
EVE,Consumer Durables
EVF,Bank
EVG,Industrials
EVS,Brokerage
FCM,Other Materials
FCN,Industrials
FDC,Residential
FIC,Other Materials
FIR,Residential
FIT,Consumer Staples
FLC,Residential
FMC,Consumer Staples
FOC,Consumer Durables
FOX,IT
FPT,IT
FRT,Retailing
FTM,Consumer Durables
FTS,Brokerage
G36,Residential
GAB,Other Materials
GAS,Energy
GDT,Consumer Durables
GEE,Industrials
GEG,Utilities
GEX,Conglomerate
GHC,Utilities
GIL,Consumer Durables
GKM,Other Materials
GMA,Industrials
GMC,Consumer Durables
GMD,Transportation
GSP,Energy
GTA,Other Materials
GVR,Other Materials
GVT,Other Materials
HAG,Consumer Staples
HAH,Transportation
HAI,Other Materials
HAN,Industrials
HAP,Other Materials
HAR,Residential
HAS,Industrials
HAX,Retailing
HBC,Industrials
HCD,Industrials
HCM,Brokerage
HDB,Bank
HDC,Residential
HDG,Conglomerate
HEM,Industrials
HHC,Consumer Staples
HHP,Other Materials
HHS,Industrials
HHV,Industrials
HID,Industrials
HII,Other Materials
HJS,Utilities
HLB,Consumer Staples
HLD,Residential
HLG,Consumer Staples
HMC,Other Materials
HNA,Utilities
HND,Utilities
HNG,Consumer Staples
HNI,Consumer Durables
HOT,Consumer Durables
HPG,Metals
HPI,Residential
HPW,Utilities
HPX,Residential
HQC,Residential
HRC,Other Materials
HSG,Metals
HSL,Consumer Staples
HT1,Other Materials
HTD,Residential
HTG,Retailing
HTI,Industrials
HTL,Retailing
HTM,Consumer Staples
HTN,Residential
HTP,Industrials
HTT,Residential
HTV,Transportation
HU1,Industrials
HU3,Industrials
HU4,Industrials
HUB,Industrials
HUT,Industrials
HVG,Consumer Staples
HVH,Industrials
HVN,Transportation
HVX,Other Materials
HWS,Utilities
IBC,Consumer Durables
ICF,Consumer Staples
ICN,Industrials
ICT,Telecom & Media
IDC,IP
IDI,Consumer Staples
IDJ,Residential
IDP,Consumer Staples
IDV,Residential
IFS,Consumer Staples
IJC,Residential
ILB,Industrials
ILS,Transportation
IMP,Health Care
INN,Industrials
IPA,Brokerage
ISH,Utilities
ITA,Industrials
ITC,Residential
ITD,Industrials
IVS,Brokerage
JVC,Health Care
KAC,Residential
KBC,IP
KDC,Consumer Staples
KDH,Residential
KHG,Residential
KHP,Utilities
KLB,Bank
KLF,Consumer Durables
KMR,Consumer Durables
KOS,Residential
KPF,Other Materials
KSB,Other Materials
KSF,Conglomerate
KSH,Other Materials
KSV,Metals
KTL,Metals
KTS,Consumer Staples
L10,Industrials
L14,Industrials
L18,Industrials
LAF,Consumer Staples
LAS,Chemicals
LBM,Other Materials
LCG,Industrials
LCM,Metals
LDG,Residential
LDW,Utilities
LEC,Residential
LGC,Transportation
LGL,Industrials
LHC,Industrials
LHG,Residential
LIC,Industrials
LIG,Industrials
LIX,Consumer Durables
LLM,Industrials
LM8,Industrials
LMH,Residential
LPB,Bank
LSS,Consumer Staples
LTG,Chemicals
MBB,Bank
MBG,IT
MBS,Brokerage
MCG,Industrials
MCH,Consumer Staples
MCM,Consumer Staples
MCP,Other Materials
MDF,Other Materials
MDG,Industrials
MH3,Industrials
MHC,Transportation
MIE,Industrials
MIG,Insurance
MKP,Health Care
MML,Consumer Staples
MPC,Consumer Staples
MSB,Bank
MSH,Consumer Durables
MSN,Conglomerate
MSR,Metals
MST,Industrials
MTA,Metals
MVB,Metals
MVC,Other Materials
MVN,Transportation
MWG,Retailing
NAB,Bank
NAF,Consumer Staples
NAV,Other Materials
NBB,Residential
NCT,Transportation
ND2,Industrials
NDC,Consumer Staples
NDN,Industrials
NET,Consumer Staples
NHA,Industrials
NHH,Other Materials
NHT,Consumer Durables
NKG,Metals
NLG,Residential
NNC,Other Materials
NNG,Other Materials
NQN,Utilities
NRC,Residential
NSC,Consumer Staples
NT2,Utilities
NTC,Residential
NTL,Residential
NTP,Other Materials
NVB,Bank
NVL,Residential
NVT,Residential
OCB,Bank
OCH,Consumer Durables
OGC,Brokerage
OIL,Energy
OPC,Health Care
ORS,Brokerage
PAC,Consumer Durables
PAN,Consumer Staples
PAP,Transportation
PAT,Chemicals
PBC,Health Care
PC1,Utilities
PDN,Transportation
PDR,Residential
PDV,Energy
PEG,Consumer Durables
PET,Retailing
PGB,Bank
PGC,Energy
PGD,Utilities
PGI,Insurance
PGS,Energy
PGV,Utilities
PHC,Industrials
PHP,Transportation
PHR,IP
PHS,Brokerage
PIT,Industrials
PJT,Energy
PLC,Chemicals
PLP,Other Materials
PLX,Energy
PMG,Utilities
PMW,Utilities
PNC,Industrials
PNJ,Retailing
POM,Other Materials
POW,Utilities
PPC,Utilities
PPH,Consumer Durables
PPI,Residential
PRE,Insurance
PRT,Industrials
PSD,IT
PSH,Energy
PSI,Brokerage
PTB,Other Materials
PTC,Industrials
PTI,Insurance
PTL,Residential
PVB,Energy
PVC,Energy
PVD,Energy
PVI,Insurance
PVL,Residential
PVM,Industrials
PVP,Transportation
PVS,Energy
PVT,Energy
PVX,Energy
PXI,Industrials
PXL,Industrials
PXS,Retailing
PXT,Industrials
QBS,Other Materials
QCG,Residential
QNS,Consumer Staples
QTP,Utilities
RAL,Industrials
RCC,Industrials
RDP,Other Materials
REE,Conglomerate
RGC,Consumer Durables
RIC,Consumer Durables
RTB,Other Materials
S4A,Utilities
S99,Industrials
SAB,Consumer Staples
SAF,Consumer Staples
SAM,Industrials
SAS,Retailing
SAV,Consumer Durables
SBA,Utilities
SBH,Utilities
SBM,Utilities
SBR,Other Materials
SBS,Brokerage
SBT,Consumer Staples
SBV,Consumer Durables
SC5,Industrials
SCD,Consumer Staples
SCG,Residential
SCI,Transportation
SCR,Residential
SCS,Transportation
SCY,Transportation
SDA,Industrials
SEA,Consumer Staples
SEB,Utilities
SFC,Retailing
SFG,Other Materials
SFI,Transportation
SGB,Bank
SGC,Consumer Staples
SGI,Consumer Durables
SGN,Transportation
SGP,Transportation
SGR,Residential
SGT,Telecom & Media
SHA,Industrials
SHB,Bank
SHI,Industrials
SHN,Conglomerate
SHP,Utilities
SHS,Brokerage
SID,Conglomerate
SII,Utilities
SIP,Residential
SJD,Utilities
SJF,Consumer Staples
SJG,Industrials
SJS,Residential
SKG,Transportation
SKH,Consumer Staples
SLS,Consumer Staples
SMA,Industrials
SMB,Consumer Staples
SMC,Other Materials
SNZ,IP
SPM,Health Care
SQC,Metals
SRC,Consumer Durables
SRF,Industrials
SSB,Bank
SSC,Consumer Staples
SSH,Residential
SSI,Brokerage
ST8,Industrials
STB,Bank
STG,Transportation
STK,Consumer Durables
STT,Consumer Durables
SVC,Retailing
SVD,Consumer Durables
SVI,Other Materials
SVT,Consumer Durables
SWC,Transportation
SZB,Industrials
SZC,IP
SZG,Industrials
SZL,Residential
TAR,Consumer Staples
TBC,Utilities
TBD,Industrials
TBH,Transportation
TCB,Bank
TCD,Industrials
TCH,Residential
TCI,Brokerage
TCL,Transportation
TCM,Consumer Durables
TCO,Transportation
TCR,Industrials
TCT,Consumer Durables
TDC,Residential
TDF,Retailing
TDG,Energy
TDH,Residential
TDM,Utilities
TDP,Other Materials
TDW,Utilities
TEG,Residential
TGG,Industrials
THD,Residential
THG,Other Materials
THI,Industrials
TID,Consumer Durables
TIE,Retailing
TIG,Residential
TIN,Conglomerate
TIP,Industrials
TIS,Metals
TIX,Residential
TKU,Other Materials
TLD,Other Materials
TLG,Consumer Staples
TLH,Other Materials
TLP,Energy
TMG,Metals
TMP,Utilities
TMS,Transportation
TMT,Consumer Durables
TN1,Residential
TNA,Industrials
TNC,Consumer Durables
TNG,Consumer Durables
TNH,Health Care
TNI,Other Materials
TNT,Other Materials
TOS,Transportation
TPB,Bank
TPC,Other Materials
TRA,Health Care
TRC,Other Materials
TS4,Consumer Staples
TSC,Industrials
TSJ,Consumer Durables
TTA,Utilities
TTB,Other Materials
TTD,Health Care
TTE,Utilities
TTF,Other Materials
TTN,IT
TV1,Industrials
TV2,Industrials
TVB,Brokerage
TVC,Conglomerate
TVD,Energy
TVN,Metals
TVP,Health Care
TVS,Brokerage
TVT,Consumer Durables
TYA,Industrials
UDC,Industrials
UIC,Utilities
VAB,Bank
VAF,Other Materials
VAV,Utilities
VBB,Bank
VC2,Industrials
VC3,Industrials
VC7,Industrials
VCA,Other Materials
VCB,Bank
VCF,Consumer Staples
VCG,Residential
VCI,Brokerage
VCP,Utilities
VCR,Residential
VCS,Other Materials
VCT,Conglomerate
VCW,Utilities
VDP,Health Care
VDS,Brokerage
VEA,Consumer Durables
VEC,Industrials
VEF,Industrials
VET,Health Care
VFC,Transportation
VFG,Other Materials
VFS,Brokerage
VGC,IP
